Country (mentioned),Review Date,Claim,Source,Label,Fact-checked Article,clean_claims,clean_claims_wsw
Germany,"Sep 16, 2021",Germany terminated all COVID-19 vaccines saying they were unsafe.,social media,0,https://www.boomlive.in/world/fake-news-covid-19-vaccine-germany-cancellation-safety-fears-14729,germany terminated all covid vaccines saying they were unsafe,germany terminated covid vaccines saying unsafe
United Kingdom,"Sep 15, 2021",UK’s leading magazine ‘British Herald’ had recently recognised PM Narendra Modi as the “World’s Most Powerful Person” in the context of COVID-19,social media,1,https://factly.in/this-british-herald-magazine-with-narendra-modi-photo-was-published-in-2019-before-the-covid-19-pandemic-in-india/,uks leading magazine british herald had recently recognised pm narendra modi as the worlds most powerful person in the context of covid,uks leading magazine british herald recently recognised pm narendra modi worlds powerful person context covid
France,"Sep 15, 2021","Several observers say that the implementing decree for the law imposing vaccination on caregivers has not been published, rendering the text inapplicable.",government department,1,https://www.liberation.fr/checknews/est-il-vrai-que-le-decret-sur-lobligation-vaccinale-des-soignants-na-pas-ete-publie-20210915_MCPX525S7VB4TNRGWHRBQQIW7I/,several observers say that the implementing decree for the law imposing vaccination on caregivers has not been published rendering the text inapplicable,several observers say implementing decree law imposing vaccination caregivers published rendering text inapplicable
United States,"Sep 15, 2021",Joe Biden has ordered health benefits be withheld from unvaccinated veterans.,social media,0,https://www.newsweek.com/fact-check-joe-biden-veterans-health-benefits-covid-vaccine-1629320,joe biden has ordered health benefits be withheld from unvaccinated veterans,joe biden ordered health benefits withheld unvaccinated veterans
Argentina,"Sep 15, 2021","Argentina: 43,000 vaccinated died from covid-19 in the first half of 2021",person,0,https://factual.afp.com/http%253A%252F%252Fdoc.afp.com%252F9MW42E-1,argentina vaccinated died from covid in the first half of,argentina vaccinated died covid first half
United States,"Sep 15, 2021","By September 2021, one COVID-19 death had taken place for every 500 people living in the United States.",news media,2,https://www.snopes.com/fact-check/1-in-500-us-covid-deaths/,by september one covid death had taken place for every people living in the united states,september one covid death taken place every people living united states
Australia,"Sep 15, 2021",A girl is separated from her father to be vaccinated against covid-19,multiple sources,0,https://factual.afp.com/http%253A%252F%252Fdoc.afp.com%252F9MW4AF-1,girl is separated from her father to be vaccinated against covid,girl separated father vaccinated covid
Canada,"Sep 14, 2021","Walmart to require proof of vaccination in Canada starting November 1, 2021",multiple sources,0,https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9MU3HH-1,walmart to require proof of vaccination in canada starting november,walmart require proof vaccination canada starting november
European ,"Sep 14, 2021",“IMPORTANT TO DISTRIBUTE TO EVERYONE who does not want to be “vaccinated”. All vaccines will no longer be justified from 10/20/2021: information verified.,social media,0,https://www.boatos.org/saude/vacinas-nao-serao-necessarias-porque-remedios-ivermectina-serao-aprovadas-para-terapia-covid-19.html,important to distribute to everyone who does not want to be vaccinated all vaccines will no longer be justified from information verified,important distribute everyone want vaccinated vaccines longer justified information verified
United States,"Sep 14, 2021",Hospitals in Oklahoma are overwhelmed with cases of people suffering ivermectin overdose after taking the drug as COVID-19 cure.,person,0,https://www.boomlive.in/world/fake-news-covid-19-oklahoma-hospitals-ivermectin-overdose-jason-mcelyea-14694,hospitals in oklahoma are overwhelmed with cases of people suffering ivermectin overdose after taking the drug as covid cure,hospitals oklahoma overwhelmed cases people suffering ivermectin overdose taking drug covid cure
United Kingdom,"Sep 14, 2021","9,472 people were admitted to hospitals in England with the Delta variant of Covid-19 in the seven days to 29 August.",news media,0,https://fullfact.org/health/delta-variant-hospitalisations/,people were admitted to hospitals in england with the delta variant of covid in the seven days to august,people admitted hospitals england delta variant covid seven days august
Australia,"Sep 14, 2021",A video claims to show people partying in public in Sydney's Bondi while the city was subject to strict COVID-19 lockdown rules.,instagram,0,https://www.aap.com.au/wipeout-bondi-lockdown-party-footage-is-actually-byron-bay/,video claims to show people partying in public in sydneys bondi while the city was subject to strict covid lockdown rules,video claims show people partying public sydneys bondi city subject strict covid lockdown rules
United States,"Sep 14, 2021",Artikel CNN dengan Judul “Healthy 40-year Old COVID Victim’s Last Words: I blame unvaccinated for this”,facebook,0,https://cekfakta.com/focus/7544,artikel cnn dengan judul healthy year old covid victims last words blame unvaccinated for this,artikel cnn dengan judul healthy year old covid victims last words blame unvaccinated
Spain,"Sep 14, 2021","“All the autonomous communities have hired more teachers to face the school year. All but three: Murcia, Madrid and Andalusia. """,multiple sources,1,https://www.newtral.es/contratacion-de-profesores-martina-velarde/20210914/,all the autonomous communities have hired more teachers to face the school year all but three murcia madrid and andalusia,autonomous communities hired teachers face school year three murcia madrid andalusia
United States,"Sep 14, 2021","After the 2009 Swine Flu epidemic, plans were drawn up to vaccinate everyone. Those plans will now be put into effect very soon as Oklahoma passed a law (2017) which will force everyone to be vaccinated. For those who refuse to be vaccinated, State Troopers have said for the record that you will be rounded up though road blockades, placed on buses that will transport you to a fema camp and there you will stay until you accept the SHOT.",website,0,https://leadstories.com/hoax-alert/2021/09/fact-check-video-mixing-wrong-2009-swine-flu-predicdtions-with-inaccuracies-on-2017-Oklahoma-law-is-not-about-covid-19-vaccination-mandates.html,after the swine flu epidemic plans were drawn up to vaccinate everyone those plans will now be put into effect very soon as oklahoma passed law which will force everyone to be vaccinated for those who refuse to be vaccinated state troopers have said for the record that you will be rounded up though road blockades placed on buses that will transport you to fema camp and there you will stay until you accept the shot,swine flu epidemic plans drawn vaccinate everyone plans put effect soon oklahoma passed law force everyone vaccinated refuse vaccinated state troopers said record rounded though road blockades placed buses transport fema camp stay accept shot
United Kingdom,"Sep 14, 2021",Serco received £37 billion of government money in contracts for NHS Test and Trace.,facebook,0,https://fullfact.org/health/37-billion-serco-social-care/,serco received ps billion of government money in contracts for nhs test and trace,serco received ps billion government money contracts nhs test trace
Japan,"Sep 14, 2021","The president of the Tokyo Medical Association holds a live press conference recommending #ivermectin to all doctors, for all covid patients. The government of Japan is one of the most conservative and cautious in the world. The data is clear. Great news",twitter,1,https://www.verificat.cat/es/fact-check/japon-no-recomienda-de-forma-oficial-el-consumo-de-ivermectina-para-tratar-la-covid-19,the president of the tokyo medical association holds live press conference recommending ivermectin to all doctors for all covid patients the government of japan is one of the most conservative and cautious in the world the data is clear great news,president tokyo medical association holds live press conference recommending ivermectin doctors covid patients government japan one conservative cautious world data clear great news
Canada,"Sep 14, 2021","Canadian Walmart Locations Are Requiring Shoppers To Show Proof Of COVID-19 Vaccination Starting November 1, 2021",facebook,0,https://leadstories.com/hoax-alert/2021/09/fact-check-canadian-walmart-locations-are-not-requiring-shoppers-to-show-proof-of-covid19-vaccination-starting-november-1-2021.html,canadian walmart locations are requiring shoppers to show proof of covid vaccination starting november,canadian walmart locations requiring shoppers show proof covid vaccination starting november
United States,"Sep 13, 2021",US military walks out after Biden mandates vaccines,multiple persons,0,https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9MN8QD-3,us military walks out after biden mandates vaccines,us military walks biden mandates vaccines
Brazil,"Sep 13, 2021","“And then the other vaccines — Janssen, AstraZeneza and the messenger RNA vaccine, which is Pfizer in Brazil and the other is Moderna, in the United States and Europe — these products are totally absurd, in the sense that there is no how do you imagine that you will become a person ""vaccinated""”",whatsapp,0,https://piaui.folha.uol.com.br/lupa/2021/09/13/verificamos-video-medica-seguranca-vacinas/,and then the other vaccines janssen astrazeneza and the messenger rna vaccine which is pfizer in brazil and the other is moderna in the united states and europe these products are totally absurd in the sense that there is no how do you imagine that you will become person vaccinated,vaccines janssen astrazeneza messenger rna vaccine pfizer brazil moderna united states europe products totally absurd sense imagine become person vaccinated
Brazil,"Sep 13, 2021","“(...) Now here in Brazil, Anvisa""s database, the first complex for you to make a notification. For you to look at the VigiMed system, which is the system for reading the reports, and get a sense of what was going on. For example, I did this study on July 12th and then on July 30th. And then the increase in the number of cases. Janssen more than doubled the number of cases in these 10 days, right, a little more than 10 days. That is, we have CoronaVac with 20% notifications being from Covid. Almost 23% of death notifications after CoronaVac.”",whatsapp,0,https://piaui.folha.uol.com.br/lupa/2021/09/13/verificamos-video-medica-seguranca-vacinas/,now here in brazil anvisa database the first complex for you to make notification for you to look at the vigimed system which is the system for reading the reports and get sense of what was going on for example did this study on july th and then on july th and then the increase in the number of cases janssen more than doubled the number of cases in these days right little more than days that is we have coronavac with notifications being from covid almost of death notifications after coronavac,brazil anvisa database first complex make notification look vigimed system system reading reports get sense going example study july th july th increase number cases janssen doubled number cases days right little days coronavac notifications covid almost death notifications coronavac
United States,"Sep 13, 2021",Bill Gates called for withdrawal of COVID-19 vaccines.,multiple sources,1,https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9MJ93K-1,bill gates called for withdrawal of covid vaccines,bill gates called withdrawal covid vaccines
Australia,"Sep 13, 2021",A video claims to show people partying in public in Sydney's Bondi while the city was subject to strict COVID-19 lockdown rules.,instagram,0,https://leadstories.com/hoax-alert/2021/09/fact-check-australian-health-organization-did-not-use-actors-to-portray-covid19-patients-in-public-health-video-they-are-real-patients.html,video claims to show people partying in public in sydneys bondi while the city was subject to strict covid lockdown rules,video claims show people partying public sydneys bondi city subject strict covid lockdown rules
United Statets,"Sep 13, 2021","Since Fauci flu in any of its variants has not yet been adequately isolated, the FDA instead used regular cold / flu viruses to produce PCR tests, meaning that all those who test positive for Chinese germs actually only test positive for seasonal flu.",news media,0,https://www.verificat.cat/es/fact-check/les-pcr-de-la-covid-19-no-indiquen-que-tinguis-la-grip,since fauci flu in any of its variants has not yet been adequately isolated the fda instead used regular cold flu viruses to produce pcr tests meaning that all those who test positive for chinese germs actually only test positive for seasonal flu,since fauci flu variants yet adequately isolated fda instead used regular cold flu viruses produce pcr tests meaning test positive chinese germs actually test positive seasonal flu
United States,"Sep 13, 2021","Dr. Christine Grady, who is married to Dr. Anthony Fauci, the director of the National Institute of Allergy and Infectious Diseases, is also the chief of bioethics for the National Institutes of Health and personally gave final approval of the Pfizer vaccine to fight COVID-19.",social media,0,https://www.newtral.es/christine-grady-vacuna-covid-anthony-fauci/20210913/,dr christine grady who is married to dr anthony fauci the director of the national institute of allergy and infectious diseases is also the chief of bioethics for the national institutes of health and personally gave final approval of the pfizer vaccine to fight covid,dr christine grady married dr anthony fauci director national institute allergy infectious diseases also chief bioethics national institutes health personally gave final approval pfizer vaccine fight covid
Australia,"Sep 13, 2021",COVID-19 vaccines are only provisionally approved in Australia while there is a state of emergency. They cannot be administered when the emergency ends.,social media,0,https://www.aap.com.au/australias-vaccine-rollout-doesnt-hinge-on-a-state-of-emergency/,covid vaccines are only provisionally approved in australia while there is state of emergency they cannot be administered when the emergency ends,covid vaccines provisionally approved australia state emergency cannot administered emergency ends
Brazil,"Sep 13, 2021","“There was no study time. This time [study] has to be done before, it has to be done in animals, in animals, it has to be done separately, to identify the effects on the reproductive part, to know if there are congenital malformations or other damages""",whatsapp,0,https://piaui.folha.uol.com.br/lupa/2021/09/13/verificamos-video-medica-seguranca-vacinas/,there was no study time this time study has to be done before it has to be done in animals in animals it has to be done separately to identify the effects on the reproductive part to know if there are congenital malformations or other damages,study time time study done done animals animals done separately identify effects reproductive part know congenital malformations damages
Spain,"Sep 13, 2021",Protest in Barcelona against the covid vaccination passport,twitter,0,https://maldita.es/malditobulo/20210913/protesta-policia-nacional-barcelona-pasaporte-vacunacion-covid-19-independentista/,protest in barcelona against the covid vaccination passport,protest barcelona covid vaccination passport
United States,"Sep 13, 2021",The Red Cross has banned plasma donations from COVID-19 vaccinated because their blood is contaminated.,Social Networking Media Users,1,https://www.ellinikahoaxes.gr/2021/09/13/red-cross-banned-convalescent-plasma-only-from-people-vaccinated-for-covid-19-misinformation/,the red cross has banned plasma donations from covid vaccinated because their blood is contaminated,red cross banned plasma donations covid vaccinated blood contaminated
Brazil,"Sep 13, 2021",Most serious cases nowadays are vaccinated in Brazil. We see this on a daily basis over the last few weeks. ,whatsapp,0,https://piaui.folha.uol.com.br/lupa/2021/09/13/verificamos-video-medica-seguranca-vacinas/,most serious cases nowadays are vaccinated in brazil we see this on daily basis over the last few weeks,serious cases nowadays vaccinated brazil see daily basis last weeks
United States,"Sep 13, 2021","There were 300 percent more cases recorded in the U.S. on September 10, 2021 than the same date a year ago.",person,2,https://www.newsweek.com/fact-check-ron-desantis-florida-300-percent-more-covid-cases-biden-1628411,there were percent more cases recorded in the on september than the same date year ago,percent cases recorded september date year ago
Germany,"Sep 13, 2021","Germany halts all COVID-19 vaccines, says they are unsafe & no longer recommended.",multiple sources,0,https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9MB72V-1,germany halts all covid vaccines says they are unsafe no longer recommended,germany halts covid vaccines says unsafe longer recommended
United States,"Sep 13, 2021","In September 2021, U.S. President Joe Biden directed the U.S. Department of Veterans Affairs to stop providing healthcare benefits to veterans who are unvaccinated.",news media,0,https://www.snopes.com/fact-check/unvaccinated-veterans-benefits/,in september president joe biden directed the department of veterans affairs to stop providing healthcare benefits to veterans who are unvaccinated,september president joe biden directed department veterans affairs stop providing healthcare benefits veterans unvaccinated
Spain,"Sep 13, 2021","Why doesn""t anyone tell? They are testing their own medicine. 2 Spanish cardiologists (Rafael Borras and Félix Pérez Villa), who promoted the vaccine and were among the first to be inoculated, have died of cardiac arrest.",telegram,0,https://maldita.es/malditobulo/20210913/cardiologos-espanoles-fallecido-vacuna-covid-19-paro-cardiaco-rafael-borras-felix-perez-villa/,why doesn anyone tell they are testing their own medicine spanish cardiologists rafael borras and felix perez villa who promoted the vaccine and were among the first to be inoculated have died of cardiac arrest,anyone tell testing medicine spanish cardiologists rafael borras felix perez villa promoted vaccine among first inoculated died cardiac arrest
United States,"Sep 13, 2021","Since Fauci flu in any of its ""variants"" has not yet been properly isolated, the FDA instead used regular cold / flu viruses to produce PCR tests, meaning that all those who test ""positive"" to the Chinese germs actually only test positive for seasonal flu.",news media,0,https://www.verificat.cat/es/fact-check/las-pcr-de-la-covid-19-no-indican-que-tengas-gripe,since fauci flu in any of its variants has not yet been properly isolated the fda instead used regular cold flu viruses to produce pcr tests meaning that all those who test positive to the chinese germs actually only test positive for seasonal flu,since fauci flu variants yet properly isolated fda instead used regular cold flu viruses produce pcr tests meaning test positive chinese germs actually test positive seasonal flu
Europe,"Sep 12, 2021","Vaccines for COVID-19 are not officially licensed, there is no yellow card for these vaccines and according to the CDC and Coreper we have 40,000 deaths from these vaccines in the European Union.",social media,1,https://www.ellinikahoaxes.gr/2021/09/12/healthcare-worker-kalamata-covid-19-vaccines-killed-40-thousand-according-to-ema-misinformation/,vaccines for covid are not officially licensed there is no yellow card for these vaccines and according to the cdc and coreper we have deaths from these vaccines in the european union,vaccines covid officially licensed yellow card vaccines according cdc coreper deaths vaccines european union
United Kingdom,"Sep 11, 2021",80% of Covid-19 deaths in Scotland in August were people who had been vaccinated,news media,0,https://leadstories.com/hoax-alert/2021/09/fact-check-claim-that-80-percent-of-covid-19-deaths-occurred-within-the-vaccinated-population-in-scotland-is-1.html,of covid deaths in scotland in august were people who had been vaccinated,covid deaths scotland august people vaccinated
Japan,"Sep 11, 2021",Japan has approved ivermectin as Covid-19 treatment,social media,0,https://www.boomlive.in/world/fake-news-japan-ivermectin-covid-19-treatment-14658,japan has approved ivermectin as covid treatment,japan approved ivermectin covid treatment
India,"Sep 10, 2021",Mumbaikars was not wearing masks and not maintaining social distance during Ganesh Utsav,facebook,0,https://www.boomlive.in/fact-check/amitabh-bachchan-shared-five-years-old-video-of-lalbaugcha-raja-went-viral-with-1-claims-14653,mumbaikars was not wearing masks and not maintaining social distance during ganesh utsav,mumbaikars wearing masks maintaining social distance ganesh utsav
United States,"Sep 10, 2021","Joe Biden said ""I don't think it should be mandatory"" back in December 2020 when asked about COVID vaccine mandates.",person,2,https://www.newsweek.com/fact-check-joe-biden-no-vaccines-mandatory-december-2020-1627774,joe biden said dont think it should be mandatory back in december when asked about covid vaccine mandates,joe biden said dont think mandatory back december asked covid vaccine mandates
Bulgaria,"Sep 10, 2021","Hospitals receive BGN 4,000 for each patient with Covid-19",mutliple sources,0,https://proveri.afp.com/http%253A%252F%252Fdoc.afp.com%252F9MJ9CU-1,hospitals receive bgn for each patient with covid,hospitals receive bgn patient covid
Germany,"Sep 10, 2021",The increasing number of corona cases is strongly related to the number of travelers returning.,person,0,"https://www.br.de/nachrichten/deutschland-welt/sind-reiserueckkehrer-verantwortlich-fuer-die-corona-zahlen,SiVbZ9x",the increasing number of corona cases is strongly related to the number of travelers returning,increasing number corona cases strongly related number travelers returning
Australia,"Sep 10, 2021",COVID-19 vaccines have caused more than 400 deaths in Australia.,social media,1,https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9ME9WN-6,covid vaccines have caused more than deaths in australia,covid vaccines caused deaths australia
Poland,"Sep 10, 2021","Zbigniew Hałat delivers anti-vaccination theses, questioning the legitimacy of the government""s actions and the health service. He believes that COVID-19 vaccines are dangerous and that their mode of administration, especially at mobile vaccination sites, is dangerous for patients.",facbook,0,https://demagog.org.pl/fake_news/zbigniew-halat-i-kolejne-falszywe-informacje-o-covid-19/,zbigniew halat delivers anti vaccination theses questioning the legitimacy of the government actions and the health service he believes that covid vaccines are dangerous and that their mode of administration especially at mobile vaccination sites is dangerous for patients,zbigniew halat delivers anti vaccination theses questioning legitimacy government actions health service believes covid vaccines dangerous mode administration especially mobile vaccination sites dangerous patients
United States,"Sep 10, 2021","Almost 45,000 people who got the COVID-19 vaccinations died in 72 hours",social media,0,https://www.usatoday.com/story/news/factcheck/2021/09/10/fact-check-no-evidence-vaccine-related-complications-killed-45-000/8256978002/,almost people who got the covid vaccinations died in hours,almost people got covid vaccinations died hours
Romania,"Sep 10, 2021",All vaccination posts against covid-19 in Romania have started to close,Several sources,1,https://checamos.afp.com/http%253A%252F%252Fdoc.afp.com%252F9ML6EJ-1,all vaccination posts against covid in romania have started to close,vaccination posts covid romania started close
Sri Lanka,"Sep 10, 2021",Newspaper article states Sri Lanka Army officer exposed vaccine corruption,person,0,https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9MJ8YJ-1,newspaper article states sri lanka army officer exposed vaccine corruption,newspaper article states sri lanka army officer exposed vaccine corruption
Israel,"Sep 10, 2021",MRNA vaccines have devastating results for cases in Israel,social media,1,https://www.colombiacheck.com/index.php/chequeos/cifras-de-covid-19-en-vacunados-de-israel-son-usadas-para-desinformar-sobre-las-vacunas,mrna vaccines have devastating results for cases in israel,mrna vaccines devastating results cases israel
United States,"Sep 10, 2021",US military walks out after Biden mandates vaccines,social media,0,https://newsmobile.in/articles/2021/09/10/fact-check-no-27-us-air-force-pilots-did-not-resign-over-covid-19-vaccine-mandate-heres-the-truth/,us military walks out after biden mandates vaccines,us military walks biden mandates vaccines
Afghanistan,"Sep 10, 2021","The Taliban survived the last 18 months with no vaccines, social distancing, PCR testing, masks or business closures to then recapture an entire country with no mass deaths amongst their population during the pandemic.",person,0,https://www.usatoday.com/story/news/factcheck/2021/09/10/fact-check-afghanistan-taliban-havent-been-spared-covid-19/5769960001/,the taliban survived the last months with no vaccines social distancing pcr testing masks or business closures to then recapture an entire country with no mass deaths amongst their population during the pandemic,taliban survived last months vaccines social distancing pcr testing masks business closures recapture entire country mass deaths amongst population pandemic
United States,"Sep 9, 2021","Dr. Christine Grady, who is married to Dr. Anthony Fauci, the director of the National Institute of Allergy and Infectious Diseases, is also the chief of bioethics for the National Institutes of Health and personally gave final approval of the Pfizer vaccine to fight COVID-19.",facebook,0,https://www.snopes.com/fact-check/christine-grady-pfizer-vaccine/,dr christine grady who is married to dr anthony fauci the director of the national institute of allergy and infectious diseases is also the chief of bioethics for the national institutes of health and personally gave final approval of the pfizer vaccine to fight covid,dr christine grady married dr anthony fauci director national institute allergy infectious diseases also chief bioethics national institutes health personally gave final approval pfizer vaccine fight covid
Europe,"Sep 9, 2021","All the scientific societies of pediatrics, not only Italian, but European and international, agree that it is also useful to vaccinate children between the ages of 12 and 18",person,0,https://pagellapolitica.it/dichiarazioni/8967/davvero-tutte-le-societa-di-pediatria-dicono-di-vaccinare-i-giovani,all the scientific societies of pediatrics not only italian but european and international agree that it is also useful to vaccinate children between the ages of and,scientific societies pediatrics italian european international agree also useful vaccinate children ages
United States,"Sep 9, 2021",Astrophysicist Neil deGrasse Tyson tweeted that unvaccinated Republicans are dying from COVID-19 at five times the rate of Democrats.,twitter,2,https://www.snopes.com/fact-check/neil-degrasse-tyson-vax-tweet/,astrophysicist neil degrasse tyson tweeted that unvaccinated republicans are dying from covid at five times the rate of democrats,astrophysicist neil degrasse tyson tweeted unvaccinated republicans dying covid five times rate democrats
Romania,"Sep 9, 2021",Romania began to close all covid-19 vaccination centers in the country,multiple sources,1,https://factual.afp.com/http%253A%252F%252Fdoc.afp.com%252F9MH474-1,romania began to close all covid vaccination centers in the country,romania began close covid vaccination centers country
United States,"Sep 9, 2021",901 people died of COVID-19 in Florida on Aug. 26,social media,0,https://www.usatoday.com/story/news/factcheck/2021/09/09/fact-check-0-claim-901-florida-covid-19-patients-died-one-day/5655963001/,people died of covid in florida on aug,people died covid florida aug
United States,"Sep 9, 2021",The Allegation that the Person in the Photo Died at the Age of 40 Due to Covid-19 and His Last Words Are That the Unvaccinated Are Responsible For This Situation,news media,0,https://www.malumatfurus.org/asisizlari-sucluyorum,the allegation that the person in the photo died at the age of due to covid and his last words are that the unvaccinated are responsible for this situation,allegation person photo died age due covid last words unvaccinated responsible situation
France,"Sep 9, 2021",Video shows protest against Covid-19 vaccines in France,facebook,0,http://checkyourfact.com/2021/09/09/fact-check-french-farmers-protesting-covid-vaccine-policies/,video shows protest against covid vaccines in france,video shows protest covid vaccines france
Afghanistan,"Sep 9, 2021","The Taliban survived the last 18 months with no vaccines, social distancing, PCR testing, masks or business closures to then recapture an entire country with no mass deaths amongst their population during the pandemic.",facebook,1,https://fullfact.org/online/taliban-no-vaccines/,the taliban survived the last months with no vaccines social distancing pcr testing masks or business closures to then recapture an entire country with no mass deaths amongst their population during the pandemic,taliban survived last months vaccines social distancing pcr testing masks business closures recapture entire country mass deaths amongst population pandemic
Denmark,"Sep 9, 2021",Denmark will lift all Covid-19 restrictions.,multiple sources,1,https://www.ellinikahoaxes.gr/2021/09/09/denmark-drops-mass-vaccination-and-covid-19-restrictions-missing-context/,denmark will lift all covid restrictions,denmark lift covid restrictions
United States,"Sep 9, 2021","Employees at the White House, CDC, FDA, WHO, Pfizer, Moderna, and Johnson & Johnson are not required to be vaccinated for COVID-19.",social media,1,https://www.snopes.com/fact-check/white-house-vaccine-mandate/,employees at the white house cdc fda who pfizer moderna and johnson johnson are not required to be vaccinated for covid,employees white house cdc fda pfizer moderna johnson johnson required vaccinated covid
Australia,"Sep 8, 2021",COVID-19 vaccines have caused more than 400 deaths in Australia.,social media,0,https://www.aap.com.au/australian-vaccine-death-claims-are-a-data-dupe/,covid vaccines have caused more than deaths in australia,covid vaccines caused deaths australia
Poland,"Sep 8, 2021","The COVID-19 vaccine is the only vaccine that is ""free"" - fully reimbursed by the state.",facebook,0,https://demagog.org.pl/fake_news/tylko-szczepionka-przeciw-covid-19-jest-darmowa-fake-news/,the covid vaccine is the only vaccine that is free fully reimbursed by the state,covid vaccine vaccine free fully reimbursed state
United States,"Sep 8, 2021",Afghan refugees will receive ivermectin before coming to the US,social media,1,https://www.usatoday.com/story/news/factcheck/2021/09/08/fact-check-post-ivermectin-afghan-refugees-missing-context/5741058001/,afghan refugees will receive ivermectin before coming to the us,afghan refugees receive ivermectin coming us
India,"Sep 8, 2021",Those forcing COVID-19 vaccination will be fined Rs 5 crore.,social media,0,https://www.thequint.com/news/webqoof/details-of-case-misrepresented-to-push-anti-covid-19-vaccine-narrative-fact-check,those forcing covid vaccination will be fined rs crore,forcing covid vaccination fined rs crore
United States,"Sep 8, 2021",claims 27 U.S. Air Force pilots resigned due to COVID-19 vaccine mandates.,facebook,0,http://checkyourfact.com/2021/09/08/fact-check-air-force-pilots-resign-mandated-covid-19-vaccines/,claims air force pilots resigned due to covid vaccine mandates,claims air force pilots resigned due covid vaccine mandates
