Country (mentioned),Review Date,Claim,Source,Label,Fact-checked Article
United States,"Sep 15, 2021",Joe Biden has ordered health benefits be withheld from unvaccinated veterans.,social media,0,https://www.newsweek.com/fact-check-joe-biden-veterans-health-benefits-covid-vaccine-1629320
Argentina,"Sep 15, 2021","Argentina: 43,000 vaccinated died from covid-19 in the first half of 2021",person,0,https://factual.afp.com/http%253A%252F%252Fdoc.afp.com%252F9MW42E-1
United States,"Sep 15, 2021","By September 2021, one COVID-19 death had taken place for every 500 people living in the United States.",news media,2,https://www.snopes.com/fact-check/1-in-500-us-covid-deaths/
Australia,"Sep 15, 2021",A girl is separated from her father to be vaccinated against covid-19,multiple sources,0,https://factual.afp.com/http%253A%252F%252Fdoc.afp.com%252F9MW4AF-1
Canada,"Sep 14, 2021","Walmart to require proof of vaccination in Canada starting November 1, 2021",multiple sources,0,https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9MU3HH-1
European ,"Sep 14, 2021",“IMPORTANT TO DISTRIBUTE TO EVERYONE who does not want to be “vaccinated”. All vaccines will no longer be justified from 10/20/2021: information verified.,social media,0,https://www.boatos.org/saude/vacinas-nao-serao-necessarias-porque-remedios-ivermectina-serao-aprovadas-para-terapia-covid-19.html
United States,"Sep 14, 2021",Hospitals in Oklahoma are overwhelmed with cases of people suffering ivermectin overdose after taking the drug as COVID-19 cure.,person,0,https://www.boomlive.in/world/fake-news-covid-19-oklahoma-hospitals-ivermectin-overdose-jason-mcelyea-14694
United Kingdom,"Sep 14, 2021","9,472 people were admitted to hospitals in England with the Delta variant of Covid-19 in the seven days to 29 August.",news media,0,https://fullfact.org/health/delta-variant-hospitalisations/
Australia,"Sep 14, 2021",A video claims to show people partying in public in Sydney's Bondi while the city was subject to strict COVID-19 lockdown rules.,instagram,0,https://www.aap.com.au/wipeout-bondi-lockdown-party-footage-is-actually-byron-bay/
United States,"Sep 14, 2021",Artikel CNN dengan Judul “Healthy 40-year Old COVID Victim’s Last Words: I blame unvaccinated for this”,facebook,0,https://cekfakta.com/focus/7544
Spain,"Sep 14, 2021","“All the autonomous communities have hired more teachers to face the school year. All but three: Murcia, Madrid and Andalusia. """,multiple sources,1,https://www.newtral.es/contratacion-de-profesores-martina-velarde/20210914/
United States,"Sep 14, 2021","After the 2009 Swine Flu epidemic, plans were drawn up to vaccinate everyone. Those plans will now be put into effect very soon as Oklahoma passed a law (2017) which will force everyone to be vaccinated. For those who refuse to be vaccinated, State Troopers have said for the record that you will be rounded up though road blockades, placed on buses that will transport you to a fema camp and there you will stay until you accept the SHOT.",website,0,https://leadstories.com/hoax-alert/2021/09/fact-check-video-mixing-wrong-2009-swine-flu-predicdtions-with-inaccuracies-on-2017-Oklahoma-law-is-not-about-covid-19-vaccination-mandates.html
United Kingdom,"Sep 14, 2021",Serco received £37 billion of government money in contracts for NHS Test and Trace.,facebook,0,https://fullfact.org/health/37-billion-serco-social-care/
Japan,"Sep 14, 2021","The president of the Tokyo Medical Association holds a live press conference recommending #ivermectin to all doctors, for all covid patients. The government of Japan is one of the most conservative and cautious in the world. The data is clear. Great news",twitter,1,https://www.verificat.cat/es/fact-check/japon-no-recomienda-de-forma-oficial-el-consumo-de-ivermectina-para-tratar-la-covid-19
Canada,"Sep 14, 2021","Canadian Walmart Locations Are Requiring Shoppers To Show Proof Of COVID-19 Vaccination Starting November 1, 2021",facebook,0,https://leadstories.com/hoax-alert/2021/09/fact-check-canadian-walmart-locations-are-not-requiring-shoppers-to-show-proof-of-covid19-vaccination-starting-november-1-2021.html
United States,"Sep 13, 2021",US military walks out after Biden mandates vaccines,multiple persons,0,https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9MN8QD-3
Brazil,"Sep 13, 2021","“And then the other vaccines — Janssen, AstraZeneza and the messenger RNA vaccine, which is Pfizer in Brazil and the other is Moderna, in the United States and Europe — these products are totally absurd, in the sense that there is no how do you imagine that you will become a person ""vaccinated""”",whatsapp,0,https://piaui.folha.uol.com.br/lupa/2021/09/13/verificamos-video-medica-seguranca-vacinas/
Brazil,"Sep 13, 2021","“(...) Now here in Brazil, Anvisa""s database, the first complex for you to make a notification. For you to look at the VigiMed system, which is the system for reading the reports, and get a sense of what was going on. For example, I did this study on July 12th and then on July 30th. And then the increase in the number of cases. Janssen more than doubled the number of cases in these 10 days, right, a little more than 10 days. That is, we have CoronaVac with 20% notifications being from Covid. Almost 23% of death notifications after CoronaVac.”",whatsapp,0,https://piaui.folha.uol.com.br/lupa/2021/09/13/verificamos-video-medica-seguranca-vacinas/
United States,"Sep 13, 2021",Bill Gates called for withdrawal of COVID-19 vaccines.,multiple sources,1,https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9MJ93K-1
Australia,"Sep 13, 2021",A video claims to show people partying in public in Sydney's Bondi while the city was subject to strict COVID-19 lockdown rules.,instagram,0,https://leadstories.com/hoax-alert/2021/09/fact-check-australian-health-organization-did-not-use-actors-to-portray-covid19-patients-in-public-health-video-they-are-real-patients.html
United Statets,"Sep 13, 2021","Since Fauci flu in any of its variants has not yet been adequately isolated, the FDA instead used regular cold / flu viruses to produce PCR tests, meaning that all those who test positive for Chinese germs actually only test positive for seasonal flu.",news media,0,https://www.verificat.cat/es/fact-check/les-pcr-de-la-covid-19-no-indiquen-que-tinguis-la-grip
United States,"Sep 13, 2021","Dr. Christine Grady, who is married to Dr. Anthony Fauci, the director of the National Institute of Allergy and Infectious Diseases, is also the chief of bioethics for the National Institutes of Health and personally gave final approval of the Pfizer vaccine to fight COVID-19.",social media,0,https://www.newtral.es/christine-grady-vacuna-covid-anthony-fauci/20210913/
Australia,"Sep 13, 2021",COVID-19 vaccines are only provisionally approved in Australia while there is a state of emergency. They cannot be administered when the emergency ends.,social media,0,https://www.aap.com.au/australias-vaccine-rollout-doesnt-hinge-on-a-state-of-emergency/
Brazil,"Sep 13, 2021","“There was no study time. This time [study] has to be done before, it has to be done in animals, in animals, it has to be done separately, to identify the effects on the reproductive part, to know if there are congenital malformations or other damages""",whatsapp,0,https://piaui.folha.uol.com.br/lupa/2021/09/13/verificamos-video-medica-seguranca-vacinas/
Spain,"Sep 13, 2021",Protest in Barcelona against the covid vaccination passport,twitter,0,https://maldita.es/malditobulo/20210913/protesta-policia-nacional-barcelona-pasaporte-vacunacion-covid-19-independentista/
United States,"Sep 13, 2021",The Red Cross has banned plasma donations from COVID-19 vaccinated because their blood is contaminated.,Social Networking Media Users,1,https://www.ellinikahoaxes.gr/2021/09/13/red-cross-banned-convalescent-plasma-only-from-people-vaccinated-for-covid-19-misinformation/
Brazil,"Sep 13, 2021",Most serious cases nowadays are vaccinated in Brazil. We see this on a daily basis over the last few weeks. ,whatsapp,0,https://piaui.folha.uol.com.br/lupa/2021/09/13/verificamos-video-medica-seguranca-vacinas/
United States,"Sep 13, 2021","There were 300 percent more cases recorded in the U.S. on September 10, 2021 than the same date a year ago.",person,2,https://www.newsweek.com/fact-check-ron-desantis-florida-300-percent-more-covid-cases-biden-1628411
Germany,"Sep 13, 2021","Germany halts all COVID-19 vaccines, says they are unsafe & no longer recommended.",multiple sources,0,https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9MB72V-1
United States,"Sep 13, 2021","In September 2021, U.S. President Joe Biden directed the U.S. Department of Veterans Affairs to stop providing healthcare benefits to veterans who are unvaccinated.",news media,0,https://www.snopes.com/fact-check/unvaccinated-veterans-benefits/
Spain,"Sep 13, 2021","Why doesn""t anyone tell? They are testing their own medicine. 2 Spanish cardiologists (Rafael Borras and Félix Pérez Villa), who promoted the vaccine and were among the first to be inoculated, have died of cardiac arrest.",telegram,0,https://maldita.es/malditobulo/20210913/cardiologos-espanoles-fallecido-vacuna-covid-19-paro-cardiaco-rafael-borras-felix-perez-villa/
United States,"Sep 13, 2021","Since Fauci flu in any of its ""variants"" has not yet been properly isolated, the FDA instead used regular cold / flu viruses to produce PCR tests, meaning that all those who test ""positive"" to the Chinese germs actually only test positive for seasonal flu.",news media,0,https://www.verificat.cat/es/fact-check/las-pcr-de-la-covid-19-no-indican-que-tengas-gripe
Europe,"Sep 12, 2021","Vaccines for COVID-19 are not officially licensed, there is no yellow card for these vaccines and according to the CDC and Coreper we have 40,000 deaths from these vaccines in the European Union.",social media,1,https://www.ellinikahoaxes.gr/2021/09/12/healthcare-worker-kalamata-covid-19-vaccines-killed-40-thousand-according-to-ema-misinformation/
United Kingdom,"Sep 11, 2021",80% of Covid-19 deaths in Scotland in August were people who had been vaccinated,news media,0,https://leadstories.com/hoax-alert/2021/09/fact-check-claim-that-80-percent-of-covid-19-deaths-occurred-within-the-vaccinated-population-in-scotland-is-1.html
Japan,"Sep 11, 2021",Japan has approved ivermectin as Covid-19 treatment,social media,0,https://www.boomlive.in/world/fake-news-japan-ivermectin-covid-19-treatment-14658
India,"Sep 10, 2021",Mumbaikars was not wearing masks and not maintaining social distance during Ganesh Utsav,facebook,0,https://www.boomlive.in/fact-check/amitabh-bachchan-shared-five-years-old-video-of-lalbaugcha-raja-went-viral-with-1-claims-14653
United States,"Sep 10, 2021","Joe Biden said ""I don't think it should be mandatory"" back in December 2020 when asked about COVID vaccine mandates.",person,2,https://www.newsweek.com/fact-check-joe-biden-no-vaccines-mandatory-december-2020-1627774
Bulgaria,"Sep 10, 2021","Hospitals receive BGN 4,000 for each patient with Covid-19",mutliple sources,0,https://proveri.afp.com/http%253A%252F%252Fdoc.afp.com%252F9MJ9CU-1
Germany,"Sep 10, 2021",The increasing number of corona cases is strongly related to the number of travelers returning.,person,0,"https://www.br.de/nachrichten/deutschland-welt/sind-reiserueckkehrer-verantwortlich-fuer-die-corona-zahlen,SiVbZ9x"
Australia,"Sep 10, 2021",COVID-19 vaccines have caused more than 400 deaths in Australia.,social media,1,https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9ME9WN-6
Poland,"Sep 10, 2021","Zbigniew Hałat delivers anti-vaccination theses, questioning the legitimacy of the government""s actions and the health service. He believes that COVID-19 vaccines are dangerous and that their mode of administration, especially at mobile vaccination sites, is dangerous for patients.",facbook,0,https://demagog.org.pl/fake_news/zbigniew-halat-i-kolejne-falszywe-informacje-o-covid-19/
United States,"Sep 10, 2021","Almost 45,000 people who got the COVID-19 vaccinations died in 72 hours",social media,0,https://www.usatoday.com/story/news/factcheck/2021/09/10/fact-check-no-evidence-vaccine-related-complications-killed-45-000/8256978002/
Romania,"Sep 10, 2021",All vaccination posts against covid-19 in Romania have started to close,Several sources,1,https://checamos.afp.com/http%253A%252F%252Fdoc.afp.com%252F9ML6EJ-1
Sri Lanka,"Sep 10, 2021",Newspaper article states Sri Lanka Army officer exposed vaccine corruption,person,0,https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9MJ8YJ-1
Israel,"Sep 10, 2021",MRNA vaccines have devastating results for cases in Israel,social media,1,https://www.colombiacheck.com/index.php/chequeos/cifras-de-covid-19-en-vacunados-de-israel-son-usadas-para-desinformar-sobre-las-vacunas
United States,"Sep 10, 2021",US military walks out after Biden mandates vaccines,social media,0,https://newsmobile.in/articles/2021/09/10/fact-check-no-27-us-air-force-pilots-did-not-resign-over-covid-19-vaccine-mandate-heres-the-truth/
Afghanistan,"Sep 10, 2021","The Taliban survived the last 18 months with no vaccines, social distancing, PCR testing, masks or business closures to then recapture an entire country with no mass deaths amongst their population during the pandemic.",person,0,https://www.usatoday.com/story/news/factcheck/2021/09/10/fact-check-afghanistan-taliban-havent-been-spared-covid-19/5769960001/
United States,"Sep 9, 2021","Dr. Christine Grady, who is married to Dr. Anthony Fauci, the director of the National Institute of Allergy and Infectious Diseases, is also the chief of bioethics for the National Institutes of Health and personally gave final approval of the Pfizer vaccine to fight COVID-19.",facebook,0,https://www.snopes.com/fact-check/christine-grady-pfizer-vaccine/
Europe,"Sep 9, 2021","All the scientific societies of pediatrics, not only Italian, but European and international, agree that it is also useful to vaccinate children between the ages of 12 and 18",person,0,https://pagellapolitica.it/dichiarazioni/8967/davvero-tutte-le-societa-di-pediatria-dicono-di-vaccinare-i-giovani
United States,"Sep 9, 2021",Astrophysicist Neil deGrasse Tyson tweeted that unvaccinated Republicans are dying from COVID-19 at five times the rate of Democrats.,twitter,2,https://www.snopes.com/fact-check/neil-degrasse-tyson-vax-tweet/
Romania,"Sep 9, 2021",Romania began to close all covid-19 vaccination centers in the country,multiple sources,1,https://factual.afp.com/http%253A%252F%252Fdoc.afp.com%252F9MH474-1
United States,"Sep 9, 2021",901 people died of COVID-19 in Florida on Aug. 26,social media,0,https://www.usatoday.com/story/news/factcheck/2021/09/09/fact-check-0-claim-901-florida-covid-19-patients-died-one-day/5655963001/
United States,"Sep 9, 2021",The Allegation that the Person in the Photo Died at the Age of 40 Due to Covid-19 and His Last Words Are That the Unvaccinated Are Responsible For This Situation,news media,0,https://www.malumatfurus.org/asisizlari-sucluyorum
France,"Sep 9, 2021",Video shows protest against Covid-19 vaccines in France,facebook,0,http://checkyourfact.com/2021/09/09/fact-check-french-farmers-protesting-covid-vaccine-policies/
Afghanistan,"Sep 9, 2021","The Taliban survived the last 18 months with no vaccines, social distancing, PCR testing, masks or business closures to then recapture an entire country with no mass deaths amongst their population during the pandemic.",facebook,1,https://fullfact.org/online/taliban-no-vaccines/
Denmark,"Sep 9, 2021",Denmark will lift all Covid-19 restrictions.,multiple sources,1,https://www.ellinikahoaxes.gr/2021/09/09/denmark-drops-mass-vaccination-and-covid-19-restrictions-missing-context/
United States,"Sep 9, 2021","Employees at the White House, CDC, FDA, WHO, Pfizer, Moderna, and Johnson & Johnson are not required to be vaccinated for COVID-19.",social media,1,https://www.snopes.com/fact-check/white-house-vaccine-mandate/
Australia,"Sep 8, 2021",COVID-19 vaccines have caused more than 400 deaths in Australia.,social media,0,https://www.aap.com.au/australian-vaccine-death-claims-are-a-data-dupe/
Poland,"Sep 8, 2021","The COVID-19 vaccine is the only vaccine that is ""free"" - fully reimbursed by the state.",facebook,0,https://demagog.org.pl/fake_news/tylko-szczepionka-przeciw-covid-19-jest-darmowa-fake-news/
United States,"Sep 8, 2021",Afghan refugees will receive ivermectin before coming to the US,social media,1,https://www.usatoday.com/story/news/factcheck/2021/09/08/fact-check-post-ivermectin-afghan-refugees-missing-context/5741058001/
India,"Sep 8, 2021",Those forcing COVID-19 vaccination will be fined Rs 5 crore.,social media,0,https://www.thequint.com/news/webqoof/details-of-case-misrepresented-to-push-anti-covid-19-vaccine-narrative-fact-check
United States,"Sep 8, 2021",claims 27 U.S. Air Force pilots resigned due to COVID-19 vaccine mandates.,facebook,0,http://checkyourfact.com/2021/09/08/fact-check-air-force-pilots-resign-mandated-covid-19-vaccines/
Afghanistan,"Sep 8, 2021","The Taliban survived the last 18 months with no vaccines, social distancing, PCR testing, masks or business closures to then recapture an entire country with no mass deaths amongst their population during the pandemic.",facebook,0,https://leadstories.com/hoax-alert/2021/09/fact-check-taliban-and-afghanistan-did-not-skip-vaccines-escape-mass-deaths-during-covid-pandemic.html
Argentina,"Sep 8, 2021",Pulmonologist doctor expresses that vaccines have many serious adverse effects and that they are gene therapies that did not pass the animal testing phase. ,Multiple sources,0,https://chequeado.com/el-explicador/son-falsas-las-afirmaciones-de-la-medica-mirande-sobre-las-vacunas-contra-el-coronavirus/
Japan,"Sep 7, 2021",Japan has approved ivermectin as Covid-19 treatment,multiple sources,1,https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9M48JR-1
Israel,"Sep 7, 2021",A study in Israel has found that natural immunity is 13 times more effective agains the Delta variant than COVID-19 vaccines,person,1,https://verafiles.org/articles/vera-files-fact-check-claim-natural-immunity-covid-19-infect
South Africa,"Sep 7, 2021",Video spreads 0 claims in South Africa about Covid-19 and vaccines,multiple sources,0,https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9MD9T8-1
Germany,"Sep 7, 2021",The German government does not recommend the use of Covid-19 vaccines and has frozen licensing of vaccines.,facebook,0,https://fullfact.org/health/Germany-covid-vaccine-halt/
Australia,"Sep 7, 2021",COVID-19 public health orders in New South Wales are invalid as they have been issued under the guise of a state of emergency that has never been declared.,website,0,https://www.aap.com.au/0-nsw-health-order-claim-needs-a-legal-lesson/
Philippines,"Sep 7, 2021",42 people in Batangas who were fully vaccinated against COVID-19 have died,tiktok,1,https://verafiles.org/articles/vera-files-fact-check-1-video-about-post-vaccinatio
United States,"Sep 7, 2021",Afghan refugees will receive ivermectin before coming to the US,twitter,1,"https://misbar.com/factcheck/2021/09/07/the-fda-gives-ivermectin-to-refugees-for-parasites,-not-covid"
Italy,"Sep 7, 2021",Salvini is (almost) right about the only countries in the world with mandatory vaccination,person,1,https://pagellapolitica.it/dichiarazioni/8966/salvini-ha-quasi-ragione-sugli-unici-paesi-al-mondo-con-lobbligo-vaccinale
United States,"Sep 6, 2021",Video shows Russian President Vladimir Putin pledging his support for a US-led investigation into the origins of the coronavirus pandemic.,twitter,0,https://www.boomlive.in/world/fake-news-vladimir-putin-joe-biden-russia-us-probe-covid-19-origin-14590
Canada,"Sep 6, 2021","Calgary mayor said Covid-19 is a ""hoax""",facebook,0,https://fullfact.org/health/0-calgary-transcript/
United Kingdom,"Sep 6, 2021",No healthy child has died from Covid-19 in the UK.,news media,0,https://fullfact.org/health/mail-understates-covid-children-risk/
Italy,"Sep 6, 2021","Covid-19 test for one euro, hospitalizations for 15 thousand euro: Occhiuto (Fi) is wrong, but how much?",person,0,https://pagellapolitica.it/dichiarazioni/8964/test-covid-19-a-un-euro-ricoveri-a-15-mila-euro-occhiuto-fi-sbaglia-ma-quanto
United States,"Sep 6, 2021",Christine Grady is involved in approving COVID-19 vaccines.,facebook,0,http://checkyourfact.com/2021/09/06/fact-check-anthony-fauci-christine-grady-fda-nih-approving-covid-vaccines/
Mexico,"Sep 6, 2021","In August 2021, the first case of lambda was registered in Mexico, in Colima",multiple sources,1,https://factual.afp.com/http%253A%252F%252Fdoc.afp.com%252F9MC2V9-1
United Kingdom,"Sep 6, 2021",Fewer than 300 children have been hospitalised with Covid-19 in England since the pandemic began and all but around 20 had underlying health issues.,news media,0,https://fullfact.org/health/mail-understates-covid-children-risk/
Australia,"Sep 6, 2021",Two children died from Pfizer-BioNTechs COVID-19 vaccine in Australia.,multiple sources,0,https://www.boomlive.in/amp/world/fake-news-two-australian-children-dead-pfizer-biontech-covid-19-vaccine-14586
Singapore,"Sep 6, 2021","“But [Benjamin Glynn’s] refusal to wear [a mask] … saw him treated like a terrorist, as he tells RT.”",person,1,https://www.polygraph.info/a/fact-check-benjamin-glynn-deported-singapore/31442244.html
Philippines,"Sep 6, 2021",Mygz Molina grieving death of comedian Noemi “Mahal” Tesorero,multiple sources,0,https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9M97EH-2
United Kingdom,"Sep 6, 2021",You are not being given an option to refuse the vaccines.,instagram,0,https://fullfact.org/health/Mike-Yeadon-video/
United States,"Sep 5, 2021",Bill Gates called for withdrawal of COVID-19 vaccines.,social media,0,https://newsmobile.in/articles/2021/09/05/fact-check-no-bill-gates-has-not-called-for-withdrawal-of-covid-19-vaccines-heres-the-truth/
Portugal,"Sep 4, 2021","Carlos Chaves Monteiro, current Mayor of Guarda and candidate for autarchy by the PSD, says that, during the Covid-19 pandemic, the city received only seven more doctors, while Castelo Branco received 40 and Viseu had 28 more clinicians.",person,2,https://poligrafo.sapo.pt/fact-check/guarda-recebeu-apenas-mais-sete-medicos-durante-a-pandemia-da-covid-19
Israel,"Sep 3, 2021",This Ends The Debate' - Israeli Study Shows Natural Immunity 13x More Effective Than Vaccines At Stopping Delta,person,0,https://fullfact.org/health/maajid-nawaz-ross-clark-israel-vaccine-immunity/
Germany,"Sep 3, 2021","Germany halts all COVID-19 vaccines, says they are unsafe & no longer recommended.",person,1,https://misbar.com/factcheck/2021/09/03/germany-did-not-halt-covid-19-vaccines-nor-claim-they-are-unsafe
Canada,"Sep 3, 2021",The Canadian government has announced funding for concentration camps.,social media,0,https://ici.radio-canada.ca/nouvelle/1821546/covid-19-camps-concentration-ontario-faux-isolement-volontaire
Israel,"Sep 3, 2021",This Ends The Debate' - Israeli Study Shows Natural Immunity 13x More Effective Than Vaccines At Stopping Delta,website,3,https://leadstories.com/hoax-alert/2021/09/fact-check-israeli-study-does-not-declare-natural-immunity-superior-to-vaccine-.html
Philippines,"Sep 3, 2021",Healthcare workers have not received their hazard pay because COVID-19 is a “scam” of the Department of Health (DOH).,facebook,0,https://www.rappler.com/newsbreak/fact-check/no-risk-pay-frontliners-because-covid-19-a-scam
United States,"Sep 3, 2021",27 U.S. Air Force Pilots Resigned Over Covid-19 Vaccination Mandate,news media,3,https://leadstories.com/hoax-alert/2021/09/fact-check-no-evidence-that-27-us-air-force-pilots-resigned-over-covid19-vaccination-mandate.html
France,"Sep 3, 2021",Video shows protest against Covid-19 vaccines in France,facebook,0,https://faktograf.hr/2021/09/03/francuska-policija-nije-pljeskala-prosvjednicima-protiv-covid-mjera/
United States,"Sep 3, 2021",Regeneron treatment was tested on cells derived from fetal tissue.,person,2,https://www.newsweek.com/fact-check-regeneron-derived-fetal-tissue-1625354
Israel,"Sep 3, 2021",This Ends The Debate' - Israeli Study Shows Natural Immunity 13x More Effective Than Vaccines At Stopping Delta,website,0,https://leadstories.com/hoax-alert/2021/09/fact-check-israeli-study-does-not-declare-natural-immunity-superior-to-vaccine-.html
United States,"Sep 3, 2021","Presidents, governors, doctors largely all vaccinated, those dying aren't",social media,1,https://www.usatoday.com/story/news/factcheck/2021/09/02/fact-check-viral-post-vaccinated-politicians-doctors-little-off/5670809001/
United States,"Sep 2, 2021",Hawaii says it has 45K deaths because of the vaccine,facebook,3,https://leadstories.com/hoax-alert/2021/09/fact-check-hawaii-does-not-say-it-has-45k-deaths-because-of-the-covid-19-vaccine.html
Australia,"Sep 2, 2021",Two children died from Pfizer-BioNTechs COVID-19 vaccine in Australia.,news media,0,https://www.newtral.es/bulo-vacuna-ninos-australia-covid/20210902/
Italy,"Sep 2, 2021","Siri is wrong, and by a lot, on those who choose not to get vaccinated and on the lethality of Covid-19",person,0,https://pagellapolitica.it/dichiarazioni/8963/siri-sbaglia-e-di-parecchio-su-chi-sceglie-di-non-vaccinarsi-e-sulla-letalita-della-covid-19
Germany,"Sep 2, 2021","Germany halts all COVID-19 vaccines, says they are unsafe & no longer recommended.",facebook,0,http://checkyourfact.com/2021/09/02/fact-check-germany-halt-covid-vaccines/
Germany,"Sep 2, 2021","Germany halts all COVID-19 vaccines, says they are unsafe & no longer recommended.",website,0,https://leadstories.com/hoax-alert/2021/09/fact-check-germany-did-not-halt-all-covid-19-vaccines.html
Philippines,"Sep 2, 2021","Mothers in the Philippines will receive P10,000 Covid-19 cash aid",multiple sources,0,https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9LZ3UQ-1
Australia,"Sep 2, 2021",Getting vaccinated against Covid-19 prevents you from receiving life insurance benefits.,multiple sources,1,https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9LQ3RR-2
United States,"Sep 2, 2021",Bill Gates called for withdrawal of COVID-19 vaccines.,social media,0,https://www.thequint.com/news/webqoof/bill-gates-calls-for-withdrawal-of-covid-19-vaccines-fact-check
United States,"Sep 1, 2021",This is a CNN article on a Covid-19 victim who 'blames the unvaccinated',multiple sources,0,https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9LW2JC
Brazil,"Sep 1, 2021",They arrive in an ambulance vehicle or medical vehicle and surrender the doorman under the allegation that they are there due to a call to take a patient with symptoms of COVID to the hospital. They rob the whole building!,social media,0,https://www.boatos.org/brasil/van-vermelha-para-atendimento-covid-19-esta-sendo-usada-arrastao-condominios.html
Israel,"Sep 1, 2021","There has been an increase in infections in Israel, so COVID-19 vaccines have not worked as expected.",social media,1,https://demagog.org.pl/fake_news/szczepionki-przeciw-covid-19-nie-zadzialaly-w-izraelu-fake-news/
United States,"Sep 1, 2021","In late August 2021, Detroit Zoo officials began vaccinating some animals against COVID-19.",news media,2,https://www.snopes.com/fact-check/detroit-zoo-covid/
France,"Sep 1, 2021",Video shows protest against Covid-19 vaccines in France,multiple sources,0,https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9LZ8QZ-1
Spain,"Sep 1, 2021",A screenshot of the Tous Anti Covid app in Catalonia suggests that eight doses of vaccine are needed,social media,0,https://www.liberation.fr/checknews/lappli-tous-anti-covid-de-catalogne-prevoit-elle-8-doses-de-vaccin-20210901_YCC3M2YAUNGX3MD3EXAPCAFGIE/
